Date,Value
2020-02-29,-0.013117621337997001
2020-01-31,0.00564726324934839
2019-12-31,0.013009540329575001
2019-11-30,0.0017406440382941699
2019-10-31,-0.0030342436064152607
2019-09-30,-0.00822154911293812
2019-08-31,-0.00346770697876029
2019-07-31,-0.00862068965517241
2019-06-30,-0.0226012793176972
2019-05-31,-0.0337837837837838
2019-04-30,-0.0406879194630872
2019-03-31,-0.0441666666666667
2019-02-28,-0.0440748440748441
2019-01-31,-0.0460008288437629
2018-12-31,-0.0506381226842322
2018-11-30,-0.051980198019802006
2018-10-31,-0.04983525535420099
2018-09-30,-0.0477956324680676
2018-08-31,-0.0482673267326733
2018-07-31,-0.0397350993377483
2018-06-30,-0.0341845140032949
2018-05-31,-0.0231023102310231
2018-04-30,-0.0181219110378913
2018-03-31,-0.0208078335373317
2018-02-28,-0.0271035598705502
2018-01-31,-0.0309236947791165
2017-12-31,-0.0330414012738853
2017-11-30,-0.0369487485101311
2017-10-31,-0.0422090729783038
2017-09-30,-0.0441118550610477
2017-08-31,-0.041897233201581
2017-07-31,-0.0458135860979463
2017-06-30,-0.0403162055335968
2017-05-31,-0.0434096290449882
2017-04-30,-0.044846577498033
2017-03-31,-0.0418295543393276
2017-02-28,-0.0429732868757259
2017-01-31,-0.0408320493066256
2016-12-31,-0.0323574730354391
2016-11-30,-0.0315505963832243
2016-10-31,-0.0276179516685846
2016-09-30,-0.0268302031429667
2016-08-31,-0.029535864978903002
2016-07-31,-0.0298850574712644
2016-06-30,-0.0224111282843895
2016-05-31,-0.00705329153605016
2016-04-30,0.00474308300395257
2016-03-31,0.0195296931048226
2016-02-29,0.0319616460247703
2016-01-31,0.0359138068635275
2015-12-31,0.0384
2015-11-30,0.0421010425020048
2015-10-31,0.052907915993537995
2015-09-30,0.0622964169381107
2015-08-31,0.0671305771592305
2015-07-31,0.0834371108343711
2015-06-30,0.0896842105263158
2015-05-31,0.0818143281051293
2015-04-30,0.0770540655598127
2015-03-31,0.0672054444917057
2015-02-28,0.0538947368421053
2015-01-31,0.0524989500209996
2014-12-31,0.0447137484329294
2014-11-30,0.0322847682119205
2014-10-31,0.0227178851714168
2014-09-30,0.0157154673283706
2014-08-31,0.0149563772330702
2014-07-31,0.0104865771812081
2014-06-30,0.00465313028764805
2014-05-31,0.00297619047619048
2014-04-30,0.0129366106080207
2014-03-31,0.0356828193832599
2014-02-28,0.0732037957523723
2014-01-31,0.0992613111726685
2013-12-31,0.130907372400756
2013-11-30,0.164898746383799
2013-10-31,0.17982456140350894
2013-09-30,0.191720059142435
2013-08-31,0.19691695673794105
2013-07-31,0.18489065606361801
2013-06-30,0.17729083665338602
2013-05-31,0.169567379413227
2013-04-30,0.15718562874251502
2013-03-31,0.133866133866134
2013-02-28,0.114300100704935
2013-01-31,0.0983772819472617
2012-12-31,0.0795918367346939
2012-11-30,0.0570846075433231
2012-10-31,0.0379362670713202
2012-09-30,0.0175526579739218
2012-08-31,0.0
2012-07-31,0.00549725137431284
2012-06-30,0.0161943319838057
2012-05-31,0.0254971953085161
2012-04-30,0.0261136712749616
2012-03-31,0.0271934325295023
2012-02-29,0.017939518195797
2012-01-31,0.00560938296787353
2011-12-31,-0.00101936799184506
2011-11-30,-0.0010183299389002
2011-10-31,0.00253549695740365
2011-09-30,-0.00250125062531266
